gene	conMean	treatMean	logFC	pValue	fdr
CILP2	0.348563317	1.57346044	1.224897123	1.76E-89	1.51E-88
DERL3	2.959254605	4.905495268	1.946240663	2.54E-75	1.40E-74
RP5-1085F17.3	2.783019555	1.742931472	-1.040088083	1.78E-82	1.21E-81
HCK	4.810356781	3.802134992	-1.008221789	6.12E-44	1.57E-43
STEAP3	2.883044309	4.179085453	1.296041145	2.42E-71	1.17E-70
FUT3	2.006607526	3.79474258	1.788135054	1.74E-65	7.30E-65
PAG1	3.454187762	2.207782246	-1.246405516	2.22E-78	1.33E-77
RP11-274B21.2	4.314777416	3.094386026	-1.22039139	4.04E-65	1.68E-64
ABCA8	4.237631002	1.247138793	-2.990492208	1.22E-127	2.27E-125
HGF	3.458501314	1.788858134	-1.66964318	5.53E-93	5.34E-92
PFKP	4.133468442	5.614554595	1.481086153	8.12E-76	4.51E-75
EPHA10	0.294569195	1.536015023	1.241445828	5.57E-95	5.78E-94
MICA	4.673886045	3.540462416	-1.133423629	6.06E-77	3.50E-76
ROBO4	5.300803172	2.415806821	-2.884996351	1.01E-129	3.20E-127
OLA1	4.645279673	6.009709577	1.364429904	1.02E-124	1.01E-122
RP3-402G11.25	1.742094731	0.690629625	-1.051465106	8.32E-79	5.08E-78
GPRC5D	2.103478539	1.062442295	-1.041036244	8.15E-60	2.96E-59
DDX17	7.643142458	6.432908953	-1.210233505	2.93E-93	2.86E-92
SMPDL3B	2.386462417	4.858574255	2.472111839	1.49E-109	3.35E-108
ARHGEF19	2.628660566	3.819115484	1.190454917	8.44E-73	4.26E-72
BZRAP1	3.920898328	2.681559268	-1.23933906	1.71E-54	5.46E-54
ACTG2	5.957864932	3.164902338	-2.792962593	5.73E-104	9.05E-103
BBOX1-AS1	0.037593578	1.081454329	1.043860751	2.83E-87	2.24E-86
RAB38	2.115641403	3.203976004	1.088334601	1.23E-62	4.80E-62
CAPN13	2.424844611	3.47803996	1.053195349	7.94E-29	1.52E-28
CH17-224D4.2	1.211362613	2.769387136	1.558024523	4.61E-23	7.89E-23
LRRC4B	1.914358714	0.599890754	-1.31446796	4.76E-108	9.57E-107
RNF43	1.642493304	3.163669081	1.521175777	1.25E-96	1.40E-95
RP11-932O9.9	2.460475726	1.437440716	-1.02303501	6.28E-62	2.40E-61
IGLV9-49	1.53137334	2.802614951	1.27124161	6.88E-24	1.20E-23
SLC35B2	4.331786487	5.490998693	1.159212206	2.11E-121	1.24E-119
CLDN12	3.328697217	4.424430235	1.095733018	5.27E-100	6.87E-99
PAICS	3.487066295	5.269850426	1.782784131	3.92E-121	2.20E-119
NPR1	4.623882142	1.840127488	-2.783754654	2.85E-127	4.84E-125
TMEM47	3.798559585	2.262108524	-1.53645106	1.56E-104	2.54E-103
BARX1	0.065657288	1.755105409	1.689448121	9.72E-65	3.99E-64
HCG4P11	1.679818801	0.60853424	-1.071284561	1.16E-55	3.80E-55
RP11-289I10.2	1.450264734	2.736048313	1.285783579	4.21E-87	3.31E-86
PTK2B	4.98317341	3.766398628	-1.216774782	5.82E-96	6.30E-95
FSTL3	6.352445223	4.132638906	-2.219806317	1.04E-106	1.91E-105
YJEFN3	2.19133553	0.953267572	-1.238067958	1.55E-68	6.96E-68
USP32P1	3.494290492	1.914972871	-1.57931762	1.23E-34	2.61E-34
MATK	2.866199932	1.671245259	-1.194954673	4.53E-83	3.13E-82
OVOL1	0.382759028	1.518564938	1.13580591	1.52E-91	1.40E-90
GOLGA6L5P	3.311530014	1.919132141	-1.392397873	5.28E-71	2.54E-70
TDRD10	3.056566318	1.604302996	-1.452263322	7.54E-65	3.11E-64
NIPSNAP1	3.544573335	5.123887967	1.579314632	8.39E-127	1.29E-124
PLA2G4B	3.158517756	1.53432681	-1.624190946	1.60E-83	1.12E-82
RHBDL2	0.650383932	2.602918146	1.952534214	3.18E-121	1.81E-119
TMEM119	4.630179331	3.47320085	-1.156978481	1.45E-50	4.25E-50
PREX2	2.29008942	0.799359749	-1.490729671	9.87E-113	2.70E-111
RP11-286H15.1	3.899443089	0.302053539	-3.59738955	3.65E-130	1.34E-127
CISD2	3.273457462	4.544463265	1.271005803	3.78E-115	1.24E-113
FBLN1	7.981887019	5.530347436	-2.451539583	1.15E-114	3.60E-113
CASKIN2	4.911827658	2.85504685	-2.056780808	1.10E-124	1.07E-122
RTKN2	3.720306017	1.739945824	-1.980360193	1.52E-69	7.03E-69
HLA-DQB2	3.259248663	4.419606759	1.160358096	4.44E-21	7.32E-21
HN1	5.34418704	7.780399395	2.436212355	1.67E-130	7.13E-128
TSC22D3	8.164393163	6.539391734	-1.62500143	8.04E-73	4.06E-72
BZW1P2	2.7661647	3.915344337	1.149179637	9.26E-59	3.26E-58
FAM173B	2.28276982	3.368858689	1.08608887	1.50E-102	2.20E-101
SLC12A4	5.572497119	3.898271914	-1.674225205	3.98E-124	3.44E-122
TCF4	4.474075197	2.914808496	-1.559266701	1.06E-100	1.42E-99
STAT5B	4.933934323	3.73700503	-1.196929293	2.04E-116	7.54E-115
PCDH17	3.021332639	1.632728135	-1.388604504	4.00E-82	2.69E-81
NAV3	1.67885388	0.671983878	-1.006870003	5.40E-91	4.87E-90
DLC1	5.375424193	3.302381255	-2.073042938	7.69E-105	1.28E-103
AFAP1L1	3.731430122	1.908151514	-1.823278608	2.46E-123	1.83E-121
UMPS	3.119251788	4.179430781	1.060178993	2.23E-90	1.96E-89
SERPINA3	5.342510406	3.337448392	-2.005062014	7.44E-48	2.06E-47
RP11-465B22.3	1.270414092	2.343001565	1.072587473	2.28E-53	7.11E-53
CDKN3	1.359377123	3.471670924	2.112293801	1.64E-104	2.68E-103
ITGA5	6.700411537	4.698173198	-2.002238339	5.78E-103	8.65E-102
MAF	3.743174335	2.709749069	-1.033425266	4.57E-79	2.81E-78
CNTNAP3B	2.108473573	0.729354165	-1.379119407	5.42E-101	7.35E-100
C9orf72	3.934579992	2.391157151	-1.54342284	4.61E-109	9.96E-108
NBEAL2	6.402331933	4.564457953	-1.83787398	4.10E-85	3.01E-84
SERPINE1	6.198225872	4.406684049	-1.791541823	4.63E-45	1.21E-44
IRF6	2.589113456	3.959825497	1.370712042	3.03E-95	3.18E-94
AKAP12	4.617940437	2.28188746	-2.336052977	2.97E-101	4.09E-100
AXIN2	3.752123905	2.35152703	-1.400596875	7.17E-85	5.22E-84
CENPU	1.598788653	3.171281298	1.572492646	1.13E-96	1.27E-95
SCGB1A1	8.19527277	5.396698411	-2.798574359	2.94E-25	5.24E-25
BCO2	2.021214125	0.953287615	-1.06792651	1.39E-83	9.75E-83
LENG8	7.024065645	4.955078	-2.068987645	3.37E-84	2.40E-83
HLA-V	1.740322231	0.703633387	-1.036688844	1.36E-70	6.50E-70
TRPC4	1.369664801	0.259984838	-1.109679963	2.00E-109	4.45E-108
AOX1	3.8539625	1.413262944	-2.440699555	1.20E-110	2.91E-109
TTC7B	4.246908059	3.232646084	-1.014261975	1.53E-88	1.26E-87
IL1R1	6.152204624	4.820256976	-1.331947647	1.26E-87	1.01E-86
CASQ2	1.878774985	0.367533199	-1.511241786	3.45E-117	1.34E-115
PTTG1	2.896715074	4.975775141	2.079060067	1.34E-105	2.31E-104
IGHV3-49	2.325566685	4.272127502	1.946560817	1.11E-40	2.64E-40
YBX2	0.343725971	1.532656344	1.188930373	6.23E-44	1.59E-43
IGHV1-46	1.965409955	3.928151264	1.96274131	7.56E-49	2.14E-48
PALD1	3.693286006	1.968467787	-1.724818219	4.91E-115	1.59E-113
GOLGA7B	0.698552953	1.921999661	1.223446708	9.81E-73	4.94E-72
SCHIP1	2.289710097	1.182832096	-1.106878001	9.27E-82	6.16E-81
LRP2BP	2.10326715	0.859936838	-1.243330312	5.07E-104	8.05E-103
ASIC3	2.185189657	1.143414394	-1.041775263	2.40E-55	7.81E-55
EBF1	2.005760612	0.940491064	-1.065269548	1.56E-102	2.28E-101
TGFBR3	4.266637391	1.514968962	-2.751668429	1.04E-129	3.21E-127
CD79A	2.189308671	4.168521308	1.979212637	6.24E-66	2.64E-65
ADAMTS9-AS1	2.40368296	0.451254604	-1.952428356	5.41E-124	4.60E-122
ADAMTSL2	3.901987685	2.295795703	-1.606191982	3.20E-91	2.91E-90
CLIC3	5.151689372	3.759745456	-1.391943916	8.03E-51	2.37E-50
RP11-350N15.4	1.972856854	0.529850626	-1.443006228	6.35E-84	4.50E-83
P3H4	2.656088538	3.860228419	1.204139881	1.49E-72	7.48E-72
DAB2	5.509551184	3.94932834	-1.560222844	3.35E-108	6.83E-107
RP11-1223D19.2	0.275607124	1.281438497	1.005831373	3.54E-53	1.10E-52
CTB-63M22.1	4.655176483	6.574364527	1.919188044	8.18E-53	2.51E-52
FAM156B	3.975008479	2.897056644	-1.077951835	3.86E-59	1.37E-58
GPR160	2.795552958	4.282746413	1.487193455	8.22E-69	3.73E-68
UBE2SP2	0.420897183	2.500484205	2.079587023	2.38E-121	1.37E-119
PDGFB	4.21276971	2.79923161	-1.413538101	1.12E-80	7.27E-80
MMP13	0.119367696	2.082320596	1.962952901	1.40E-112	3.79E-111
CTD-3092A11.2	3.461287633	1.797598533	-1.6636891	7.71E-82	5.14E-81
TMPRSS13	1.656939556	3.297877522	1.640937967	9.23E-88	7.44E-87
SH2B3	3.92047187	2.764819967	-1.155651903	1.03E-109	2.34E-108
MROH6	3.102256316	4.200999315	1.098742999	2.39E-44	6.18E-44
PPP1R14B	5.485875549	7.051231654	1.565356105	3.44E-98	4.09E-97
C1R	7.956219249	6.924258671	-1.031960577	7.68E-60	2.79E-59
IGHV5-51	3.734981625	6.206475285	2.471493661	4.31E-57	1.46E-56
RAD51	0.874945738	2.282813163	1.407867425	3.29E-98	3.92E-97
FHL1	7.641591908	3.452148034	-4.189443874	5.46E-133	1.09E-129
BOLA2B	4.756508109	6.572308794	1.815800686	1.40E-117	5.58E-116
CHRDL1	5.502172679	2.134327127	-3.367845551	4.81E-125	5.01E-123
NPM3	3.460668791	4.997162596	1.536493805	1.62E-111	4.16E-110
CST2	0.597881034	1.753777108	1.155896074	1.13E-46	3.05E-46
NXF3	2.945484993	0.553923539	-2.391561454	1.49E-116	5.54E-115
CAV1	7.784288853	5.078546459	-2.705742394	2.86E-107	5.43E-106
ADAMTS15	2.487962888	0.742205729	-1.74575716	4.61E-115	1.50E-113
RP11-482H16.1	1.961646756	0.635270843	-1.326375913	1.37E-107	2.67E-106
ECM2	3.102658846	2.029236032	-1.073422813	2.47E-57	8.39E-57
RHOV	0.933790344	3.155935816	2.222145472	3.64E-88	2.97E-87
AGPAT4	2.587974824	1.214684619	-1.373290206	4.78E-117	1.83E-115
TNFRSF6B	3.761365886	2.188772875	-1.572593011	8.03E-33	1.65E-32
SIX2	0.252043677	1.313746862	1.061703185	2.20E-52	6.71E-52
DUXAP9	0.665117957	1.787948853	1.122830896	7.62E-52	2.30E-51
IGKV3D-15	0.72362867	3.046490744	2.322862074	5.68E-79	3.49E-78
PRSS8	5.494961437	6.874208384	1.379246947	5.84E-69	2.67E-68
CSRNP1	5.816522427	3.78179663	-2.034725798	4.04E-111	1.01E-109
CCDC130	5.168697992	3.869084434	-1.299613558	5.78E-78	3.43E-77
GREM1	0.783752524	2.821321576	2.037569053	1.93E-74	1.03E-73
PLK4	1.045168951	2.055103176	1.009934225	6.42E-79	3.93E-78
VSIG1	0.465351913	2.132328767	1.666976854	5.27E-60	1.93E-59
RPGR	4.211161466	2.287197379	-1.923964087	2.54E-115	8.54E-114
TBC1D10C	3.73141581	2.707050456	-1.024365355	1.90E-51	5.67E-51
RP3-331H24.7	2.76052722	0.495076663	-2.265450557	5.40E-125	5.54E-123
MAPK11	3.506250088	2.036055072	-1.470195016	9.48E-97	1.06E-95
FENDRR	4.94485214	1.07983817	-3.86501397	6.99E-132	5.58E-129
ARHGEF6	3.75814742	2.380297394	-1.377850026	5.41E-109	1.16E-107
SPOCK2	5.636545535	3.582425736	-2.054119799	4.56E-99	5.70E-98
CFAP69	2.369108897	1.348275369	-1.020833528	3.81E-58	1.32E-57
IGKV1-16	3.405497178	5.613990206	2.208493028	2.74E-47	7.48E-47
TCIRG1	7.309240417	6.061575605	-1.247664812	7.54E-64	3.03E-63
PTK6	1.560784345	2.987434019	1.426649673	2.50E-74	1.32E-73
LEPR	3.532446508	1.964721703	-1.567724805	5.30E-94	5.29E-93
MAN2C1	7.113354081	5.104379261	-2.00897482	1.10E-87	8.81E-87
SLC25A29	5.226843265	4.060406146	-1.166437119	8.72E-58	2.99E-57
CTD-3088G3.8	1.94233711	0.517619996	-1.424717114	3.13E-80	2.00E-79
DLL1	3.050258904	1.447721613	-1.602537292	8.37E-94	8.29E-93
THBS1	7.505530487	5.207286205	-2.298244281	2.81E-80	1.80E-79
GPIHBP1	4.02601752	1.068827048	-2.957190472	4.06E-114	1.22E-112
XBP1	6.833380277	7.932708448	1.099328171	2.84E-71	1.38E-70
DEFA4	2.016849742	0.0557692	-1.961080542	1.59E-114	4.91E-113
HIST2H4A	2.426248825	3.844147029	1.417898204	5.75E-66	2.44E-65
KIF23	1.505295834	2.629658815	1.124362981	1.53E-61	5.78E-61
IP6K3	1.89961074	0.887129166	-1.012481573	7.85E-52	2.37E-51
SUGCT	1.017057206	2.341907889	1.324850683	5.48E-72	2.71E-71
ERICH5	0.542615824	1.634944991	1.092329167	1.00E-50	2.94E-50
MFSD9	1.794088651	2.827574874	1.033486223	2.25E-109	5.01E-108
RP11-464D20.2	0.926654201	2.488707936	1.562053735	1.18E-92	1.12E-91
HOXA10	0.19518622	1.198647383	1.003461163	2.39E-28	4.53E-28
ICMT	3.809856382	4.867504369	1.057647986	1.12E-105	1.94E-104
FMNL1	5.823598404	4.416780335	-1.406818069	8.31E-85	6.04E-84
PSMG3	4.184415685	5.600148462	1.415732777	1.14E-109	2.57E-108
ARHGAP9	5.194437324	3.500827263	-1.693610061	3.60E-85	2.65E-84
OAS1	4.061571503	5.406108338	1.344536835	1.51E-65	6.33E-65
UGDH	3.730698784	5.318026344	1.587327561	2.68E-93	2.62E-92
SRSF5	8.028267788	6.837399385	-1.190868403	1.11E-103	1.72E-102
FCGR2C	3.82381226	2.548838558	-1.274973702	2.89E-46	7.74E-46
FAM13A-AS1	2.703930047	0.847585827	-1.85634422	6.82E-98	8.01E-97
RPS4Y1	4.959212886	3.419849098	-1.539363789	7.14E-17	1.09E-16
C7	7.516399771	3.970281114	-3.546118657	9.31E-118	3.77E-116
RP11-146D12.2	1.448380875	0.251559292	-1.196821583	1.29E-104	2.13E-103
PAK1	3.836959431	4.963670378	1.126710946	4.94E-107	9.26E-106
HOXD1	1.0367647	2.043597113	1.006832413	3.17E-20	5.15E-20
OVCH2	1.237050827	0.136003614	-1.101047212	3.20E-116	1.16E-114
PODXL2	1.392410441	3.979348802	2.58693836	8.37E-91	7.49E-90
FEZF1-AS1	0.094954063	1.556841848	1.461887785	2.67E-93	2.61E-92
TBX2	6.000316236	2.682436766	-3.31787947	2.93E-128	6.26E-126
AC004540.4	2.098364136	0.797272364	-1.301091773	6.25E-95	6.46E-94
TIMP3	8.642109247	6.139141841	-2.502967406	3.29E-117	1.28E-115
DPEP2	3.649109659	1.914861278	-1.734248381	3.74E-103	5.67E-102
LDB3	1.841049702	0.361703958	-1.479345744	7.56E-120	3.76E-118
ITGB4	3.882673695	5.651901005	1.769227309	1.52E-69	7.03E-69
TOX3	0.627554429	2.678910436	2.051356007	2.08E-79	1.29E-78
ADRA1A	1.921319285	0.128199192	-1.793120093	2.32E-130	9.49E-128
NR4A3	3.012980186	1.396163428	-1.616816758	7.42E-60	2.70E-59
LAMA2	4.342211787	1.965476139	-2.376735648	4.80E-112	1.27E-110
RP11-677O4.6	1.810098281	0.300288974	-1.509809306	8.52E-65	3.51E-64
CMTM5	1.234289629	0.13296468	-1.101324949	1.38E-127	2.53E-125
LINC01268	1.291438919	0.286673183	-1.004765736	8.88E-108	1.76E-106
ATP1B3	6.996961619	5.915251261	-1.081710357	8.69E-78	5.12E-77
LRRC8E	1.188187579	2.312178921	1.123991342	3.45E-94	3.47E-93
LTC4S	3.190707839	1.893509375	-1.297198464	1.38E-79	8.64E-79
NUSAP1	2.02178741	3.696115785	1.674328375	1.14E-90	1.01E-89
RP13-1016M1.2	1.700602035	0.473967766	-1.226634269	1.36E-91	1.26E-90
RP11-44F21.5	0.500310791	1.784960977	1.284650186	4.71E-64	1.90E-63
KCNK17	2.461321017	0.92452155	-1.536799467	7.26E-89	6.10E-88
THY1	4.259357883	5.52195221	1.262594327	1.44E-33	3.00E-33
GPRASP1	2.331672646	0.930721285	-1.400951361	3.53E-105	5.97E-104
ADCY3	5.195767896	4.094018947	-1.101748949	1.50E-76	8.53E-76
FAM13C	2.537670634	1.240222621	-1.297448012	5.57E-89	4.70E-88
DPP4	2.840213379	4.320750378	1.480536999	2.06E-38	4.71E-38
HOXB7	1.59786794	2.842321673	1.244453733	1.34E-33	2.80E-33
SRP9P1	2.408833898	3.917269904	1.508436006	1.20E-46	3.24E-46
JAG1	4.572441635	3.025786828	-1.546654807	2.55E-87	2.02E-86
GPD1	2.800620368	1.160839524	-1.639780844	2.14E-72	1.07E-71
CRYGS	2.028430957	0.975901952	-1.052529005	6.31E-75	3.41E-74
PHYHD1	4.757323866	3.631367385	-1.125956482	4.30E-33	8.90E-33
AFAP1-AS1	0.143633734	2.713232635	2.569598901	4.02E-87	3.16E-86
HBG2	2.215793371	0.340680033	-1.875113339	7.11E-103	1.06E-101
MET	2.685466192	4.645974694	1.960508502	1.76E-66	7.57E-66
CNIH1	5.274540734	6.324587578	1.050046844	1.02E-84	7.38E-84
FGD3	3.460643718	2.18180844	-1.278835278	2.09E-95	2.20E-94
PARVG	5.111336232	3.538526476	-1.572809756	9.18E-96	9.88E-95
PI4KAP1	4.070792988	2.397352735	-1.673440253	9.18E-58	3.15E-57
BTK	4.179928808	2.648298337	-1.531630471	2.09E-103	3.21E-102
IGHV4-59	3.708301392	5.8834424	2.175141009	2.00E-45	5.28E-45
SERPINB9	3.76804572	2.693914196	-1.074131524	6.23E-56	2.05E-55
TTC22	1.529766661	2.581393899	1.051627238	4.98E-88	4.05E-87
SFXN4	3.126066737	4.381587002	1.255520265	7.16E-104	1.13E-102
OPN3	3.255039334	4.430177826	1.175138492	5.54E-51	1.64E-50
EPHX4	0.440267632	1.58479187	1.144524238	7.05E-77	4.06E-76
RP11-294C11.2	0.149993519	1.330059781	1.180066262	1.23E-83	8.65E-83
SELE	1.84662355	0.64423058	-1.20239297	4.51E-38	1.02E-37
FAM107A	5.858169649	1.679911367	-4.178258283	1.52E-131	9.93E-129
RBM6	6.165210553	4.708017813	-1.45719274	4.58E-82	3.07E-81
RP5-1057I20.4	2.587466322	1.067200912	-1.52026541	3.12E-98	3.72E-97
JUN	6.82804406	5.620830403	-1.207213657	2.42E-52	7.38E-52
EEF1A1P9	0.52877975	1.566471301	1.037691551	1.77E-82	1.20E-81
SRD5A1	1.567864949	3.064250975	1.496386025	6.69E-121	3.68E-119
IL33	4.294264707	2.880934813	-1.413329894	4.13E-58	1.43E-57
TFB2M	2.321818694	3.752479883	1.430661188	4.51E-123	3.28E-121
MAOB	4.529111603	2.655721257	-1.873390346	2.64E-104	4.26E-103
FFAR2	1.953182949	0.85748744	-1.095695509	2.33E-58	8.13E-58
RP11-713M15.2	0.891849401	1.985820616	1.093971215	2.38E-56	7.91E-56
MYH10	5.598402148	3.750007664	-1.848394484	1.68E-104	2.73E-103
SPTBN1	7.468063691	5.552525116	-1.915538575	1.95E-129	5.36E-127
GAS6	6.773233305	5.058990025	-1.714243281	3.13E-108	6.41E-107
RP11-783K16.5	0.601766444	2.321083016	1.719316572	5.36E-108	1.07E-106
MLKL	4.478034713	3.121855417	-1.356179296	7.13E-88	5.77E-87
SLC25A37	5.31138766	4.222452468	-1.088935191	1.41E-46	3.79E-46
AC016708.2	1.210180138	2.505603496	1.295423358	7.39E-06	8.86E-06
LAPTM4B	4.61277341	6.686303389	2.073529978	2.34E-120	1.21E-118
ZCCHC24	4.031634508	2.635858608	-1.395775899	1.57E-116	5.82E-115
FUT6	0.260130408	1.454000525	1.193870117	1.09E-50	3.19E-50
HMGN1P37	0.397319554	2.249533497	1.852213943	5.83E-118	2.40E-116
PI4KAP2	4.052392883	2.56399885	-1.488394033	5.05E-76	2.83E-75
ZBTB47	3.463358733	2.147128904	-1.316229829	7.62E-122	4.66E-120
SHC2	4.575794717	3.089333332	-1.486461384	6.79E-64	2.73E-63
PRF1	3.561809155	2.513714783	-1.048094372	6.07E-46	1.62E-45
VGLL3	3.381893197	1.389387174	-1.992506023	3.74E-116	1.34E-114
RUNX1T1	2.09192801	0.797537032	-1.294390978	4.07E-106	7.20E-105
VENTX	1.72832875	0.535528324	-1.192800426	2.48E-89	2.10E-88
RAPGEF3	4.357983633	2.34791096	-2.010072674	1.11E-106	2.04E-105
MINK1	5.949161404	4.5170099	-1.432151503	3.55E-101	4.87E-100
TTLL7	2.26976038	0.996163042	-1.273597338	1.09E-85	8.17E-85
TCEAL2	2.858495663	0.725948526	-2.132547137	3.46E-115	1.14E-113
MRPS23	4.14232619	5.599785508	1.457459317	1.21E-112	3.29E-111
CCNB2	1.23772799	3.428888488	2.191160498	3.86E-113	1.08E-111
ESAM	6.825513661	4.423293423	-2.402220238	1.23E-123	9.81E-122
PLEKHS1	1.262959793	2.446624283	1.18366449	3.69E-26	6.71E-26
ROCK1	4.213052424	3.198511502	-1.014540922	7.85E-91	7.05E-90
SASH1	4.079876492	2.211069209	-1.868807283	3.33E-125	3.62E-123
C15orf52	3.736401959	2.323171554	-1.413230405	1.18E-84	8.54E-84
SNRK	4.32720728	2.991739216	-1.335468065	2.91E-120	1.50E-118
SEC31B	3.367103376	1.47367177	-1.893431606	1.30E-85	9.68E-85
SPON2	5.768402749	4.328195154	-1.440207595	2.97E-56	9.83E-56
AC007566.10	2.327791414	0.963593686	-1.364197728	3.83E-93	3.73E-92
INPP5A	4.404977586	3.222434633	-1.182542953	2.31E-120	1.20E-118
TBC1D1	5.275873536	4.239054587	-1.036818949	7.80E-78	4.61E-77
RP11-215A21.2	0.47834457	1.540829283	1.062484713	2.90E-99	3.66E-98
LDB2	5.34271597	2.703282438	-2.639433531	5.98E-131	2.81E-128
ARHGAP11A	1.066847532	2.168794105	1.101946573	7.41E-80	4.66E-79
SNHG18	3.238053428	2.16273387	-1.075319558	6.57E-58	2.26E-57
ATAD2	1.992746302	3.0180163	1.025269997	1.59E-65	6.66E-65
SIRPB1	3.271243282	1.748687856	-1.522555426	2.25E-78	1.35E-77
NCALD	3.827592743	2.755227963	-1.07236478	5.54E-59	1.96E-58
CLEC4E	3.880979299	1.866342141	-2.014637158	3.19E-88	2.61E-87
CDK1	1.938012311	3.92673296	1.988720649	6.61E-102	9.44E-101
NKD2	5.501015451	2.673141589	-2.827873862	7.98E-118	3.25E-116
SPTAN1	7.047563894	6.043643521	-1.003920373	1.47E-97	1.70E-96
FAM110D	2.380080393	0.787443521	-1.592636872	2.09E-119	1.00E-117
RP11-206L10.3	1.962440323	0.949292954	-1.013147369	1.51E-63	6.03E-63
NPIPA1	6.144639028	4.492123623	-1.652515405	8.18E-88	6.60E-87
NKX2-1-AS1	1.340490207	2.341080096	1.000589888	1.06E-47	2.91E-47
KNOP1	2.795855235	3.869789633	1.073934399	1.18E-95	1.26E-94
HHIP	2.820076833	1.512575009	-1.307501823	7.61E-32	1.54E-31
CYP4B1	6.710232325	4.100624387	-2.609607937	3.80E-61	1.43E-60
PMAIP1	1.836737843	3.135201369	1.298463526	2.86E-59	1.02E-58
GINS2	0.649626459	2.22363835	1.574011891	4.71E-111	1.17E-109
RTN1	2.931313323	1.884545325	-1.046767997	5.72E-66	2.43E-65
CDCA8	1.007861952	2.911469733	1.903607781	1.27E-115	4.38E-114
IGKV2D-28	1.539151163	5.362102353	3.822951191	4.07E-93	3.96E-92
CLEC2B	4.823368785	3.138646799	-1.684721986	4.41E-86	3.34E-85
RPL37P6	0.398431527	1.925582311	1.527150784	1.75E-107	3.39E-106
MMP19	5.102410091	2.790444798	-2.311965293	7.06E-110	1.63E-108
MYOCD	1.52273349	0.32280918	-1.19992431	2.93E-109	6.44E-108
MRPS33	4.421235241	5.947551526	1.526316285	2.19E-118	9.42E-117
FAM64A	0.586649048	2.18687093	1.600221882	1.93E-102	2.81E-101
THOC3	3.322023534	4.689705483	1.36768195	2.09E-110	4.98E-109
MESP1	0.763577944	2.67552518	1.911947236	1.12E-108	2.36E-107
CRTAC1	3.722260249	2.682436084	-1.039824164	1.94E-15	2.89E-15
MCOLN1	5.016843186	3.854643988	-1.162199199	1.34E-104	2.21E-103
DUSP4	2.242909276	3.367287385	1.12437811	2.57E-28	4.88E-28
FAXDC2	4.778949515	3.536829436	-1.242120079	4.78E-45	1.25E-44
FOLR3	2.130912965	0.569965768	-1.560947197	1.13E-91	1.04E-90
TSPAN18	3.711052229	2.187134622	-1.523917607	2.32E-96	2.56E-95
KIAA0101	1.785675248	4.502428437	2.716753189	6.01E-114	1.78E-112
SLAMF7	2.397010302	3.766078593	1.369068291	1.17E-57	4.01E-57
RAI2	4.428821821	2.160752268	-2.268069552	4.14E-130	1.43E-127
TRPC6	3.377768514	2.030508314	-1.3472602	9.21E-64	3.69E-63
ALOX5AP	6.798693118	5.285636158	-1.51305696	4.72E-64	1.90E-63
RP1-241P17.4	1.976158784	4.040003913	2.063845129	1.88E-75	1.04E-74
IGKV1D-33	0.315149489	2.511989698	2.196840209	1.39E-92	1.32E-91
DARS2	2.228669095	3.480976882	1.252307788	1.15E-115	3.99E-114
NEAT1	9.718966672	7.753103882	-1.96586279	2.89E-76	1.64E-75
ZNF333	3.266815947	2.002460214	-1.264355733	3.11E-98	3.72E-97
NAIP	3.936710211	2.516505517	-1.420204694	3.09E-85	2.28E-84
GGTLC1	4.560730798	2.887180119	-1.673550679	2.78E-39	6.48E-39
NTRK2	1.733956536	0.617926036	-1.116030501	5.48E-75	2.97E-74
C1orf115	3.970078658	2.636118523	-1.333960135	5.98E-78	3.54E-77
HEYL	3.988414285	2.493370357	-1.495043928	5.12E-99	6.37E-98
MIR143HG	2.516828096	0.60982272	-1.907005376	4.76E-109	1.03E-107
RP11-488L18.10	3.777097578	2.732076857	-1.04502072	2.33E-59	8.35E-59
FRMD5	0.207091961	1.27480319	1.067711229	1.42E-108	2.98E-107
PODNL1	2.068487917	3.144906391	1.076418475	2.54E-31	5.09E-31
BZW2	4.243393149	5.685075747	1.441682598	2.51E-114	7.65E-113
CKAP2	1.950830184	3.015476428	1.064646244	9.36E-89	7.80E-88
CPSF3	3.399135986	4.40557523	1.006439244	3.05E-118	1.30E-116
EZH1	4.853872916	3.310855137	-1.543017779	3.69E-107	6.97E-106
FAM65B	3.805754853	2.047940951	-1.757813902	1.65E-95	1.75E-94
ZDHHC19	1.749749758	0.318844277	-1.430905481	2.02E-107	3.88E-106
IGLV3-19	4.354191919	6.730974653	2.376782734	4.92E-50	1.43E-49
LINC00511	1.17834482	3.774180711	2.595835891	1.84E-118	7.97E-117
CLDN1	2.461521064	4.053749953	1.592228889	1.45E-53	4.55E-53
TNFSF12	5.577344497	4.514322793	-1.063021704	9.00E-100	1.16E-98
CD207	0.576436184	1.761751297	1.185315113	1.78E-36	3.91E-36
CP	2.89606967	6.457857222	3.561787552	1.06E-100	1.42E-99
CTD-3010D24.3	0.028093654	1.145979	1.117885345	2.70E-117	1.06E-115
BET1	3.443011834	4.49632034	1.053308505	1.52E-96	1.69E-95
CDCA7	0.906669286	3.037521149	2.130851863	1.08E-110	2.62E-109
RP11-10G12.1	0.472239173	2.423008602	1.95076943	3.98E-99	5.00E-98
LMNB1	2.866815333	4.086177703	1.219362369	1.04E-70	4.97E-70
